İLÇE,OKUL ADI,2022,2023,2024,2025 Tahmin,ALAN,OKUL TÜRÜ,2024 Hata
ÇANKAYA (MERKEZ),Ankara Fen Lisesi,0.11,0.08,0.08,0.05 – 0.11,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,0.029999999999999985
ÇANKAYA (MERKEZ),Prof. Dr. Aziz Sancar Fen Lisesi,1.27,0.53,0.29,0 – 0.55,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,0.49999999999999994
PURSAKLAR,Ankara Pursaklar Fen Lisesi,0.59,0.41,0.33,0.15 – 0.35,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,0.09999999999999992
YENİMAHALLE (MERKEZ),Atatürk Anadolu Lisesi,0.96,0.84,0.91,0.79 – 1.17,ANADOLU LİSESİ,Anadolu Lisesi,0.19000000000000006
ELMADAĞ,Özdemir Bayraktar Havacılık ve Uzay Teknolojileri Mesleki ve Teknik Anadolu Lisesi,0.0,1.02,0.96,0 – 3.9,HAVACILIK VE UZAY TEKNOLOJİSİ,Anadolu Teknik Programı,
ÇANKAYA (MERKEZ),Cumhuriyet Fen Lisesi,1.31,1.02,1.09,0.8 – 1.52,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,0.3599999999999999
SİNCAN (MERKEZ),Ankara Erman Ilıcak Fen Lisesi,3.19,1.63,1.13,0 – 1.69,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,1.0599999999999987
KEÇİÖREN (MERKEZ),Keçiören Vatansever Şehit Tümgeneral Aydoğan Aydın Fen Lisesi,1.42,1.44,1.31,1.03 – 1.33,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,0.1499999999999999
YENİMAHALLE (MERKEZ),Yenimahalle Fen Lisesi,2.13,1.71,1.52,1.1 – 1.56,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,0.22999999999999976
YENİMAHALLE (MERKEZ),ASELSAN Mesleki ve Teknik Anadolu Lisesi,2.67,2.05,1.73,1.11 – 1.71,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,0.2999999999999998
ETİMESGUT (MERKEZ),Özkent Akbilek Fen Lisesi,2.53,2.25,1.9,1.48 – 1.62,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,0.07000000000000028
YENİMAHALLE (MERKEZ),ASELSAN Mesleki ve Teknik Anadolu Lisesi,2.67,2.05,2.38,1.76 – 3.66,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,0.9499999999999997
ÇANKAYA (MERKEZ),Ankara Atatürk Lisesi,3.19,2.86,2.46,1.99 – 2.13,ANADOLU LİSESİ,Hazırlık Sınıfı Bulunan Anadolu Lisesi,0.07000000000000028
ÇANKAYA (MERKEZ),Gazi Anadolu Lisesi,2.83,2.86,2.72,2.41 – 2.75,ANADOLU LİSESİ,Anadolu Lisesi,0.16999999999999948
ÇANKAYA (MERKEZ),Mehmet Emin Resulzade Anadolu Lisesi,3.06,3.05,3.03,3.0 – 3.02,ANADOLU LİSESİ,Anadolu Lisesi,0.009999999999999343
ETİMESGUT (MERKEZ),Şehit Oğuzhan Yaşar Anadolu Lisesi,4.04,3.6,3.3,2.86 – 3.14,ANADOLU LİSESİ,Anadolu Lisesi,0.1399999999999988
ÇANKAYA (MERKEZ),Dr.Binnaz Ege-Dr.Rıdvan Ege Anadolu Lisesi,3.83,3.6,3.49,3.26 – 3.5,ANADOLU LİSESİ,Anadolu Lisesi,0.1200000000000001
ÇANKAYA (MERKEZ),Hacı Ömer Tarman Anadolu Lisesi,4.48,4.39,4.04,3.43 – 3.95,ANADOLU LİSESİ,Anadolu Lisesi,0.2599999999999989
YENİMAHALLE (MERKEZ),Nermin Mehmet Çekiç Anadolu Lisesi,4.92,4.48,4.2,3.76 – 4.08,ANADOLU LİSESİ,Anadolu Lisesi,0.15999999999999925
KEÇİÖREN (MERKEZ),Vecihi Hürkuş Anadolu lisesi,5.25,4.73,4.29,3.77 – 3.93,ANADOLU LİSESİ,Anadolu Lisesi,0.0799999999999983
ÇANKAYA (MERKEZ),Hacı Ömer Tarman Anadolu Lisesi (Almanca),4.98,4.76,4.44,4.02 – 4.22,ANADOLU LİSESİ,Anadolu Lisesi,0.09999999999999876
YENİMAHALLE (MERKEZ),Tevfik İleri Anadolu İmam Hatip Lisesi,5.77,4.54,4.77,3.54 – 6.46,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,1.459999999999999
MAMAK (MERKEZ),Mamak Fen Lisesi,5.36,4.84,4.96,4.44 – 5.72,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,0.6400000000000015
YENİMAHALLE (MERKEZ),Tevfik İleri Anadolu İmam Hatip Lisesi,18.88,5.37,5.22,0 – 18.43,FEN VE SOSYAL BİLİMLER PROGRAMI,Hazırlık Sınıfı Bulunan Anadolu İmam Hatip Lisesi,13.359999999999992
ÇANKAYA (MERKEZ),Ayrancı Anadolu Lisesi,5.95,5.51,5.31,4.87 – 5.35,ANADOLU LİSESİ,Anadolu Lisesi,0.23999999999999932
ETİMESGUT (MERKEZ),Cezeri Yeşil Teknoloji Mesleki ve Teknik Anadolu Lisesi,7.45,6.22,5.35,4.12 – 4.84,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,0.35999999999999943
SİNCAN (MERKEZ),Süleyman Demirel Anadolu Lisesi,6.52,5.93,6.15,5.56 – 7.18,ANADOLU LİSESİ,Anadolu Lisesi,0.8099999999999996
ÇANKAYA (MERKEZ),Betül Can Anadolu Lisesi,6.09,6.2,6.17,6.0 – 6.28,ANADOLU LİSESİ,Anadolu Lisesi,0.14000000000000057
ALTINDAĞ (MERKEZ),Altındağ Yıldırım Beyazıt Fen Lisesi,6.35,6.28,6.18,6.05 – 6.11,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,0.03000000000000025
YENİMAHALLE (MERKEZ),Mustafa Azmi Doğan Anadolu Lisesi,7.25,6.8,6.47,6.02 – 6.26,ANADOLU LİSESİ,Anadolu Lisesi,0.1200000000000001
ETİMESGUT (MERKEZ),Cezeri Yeşil Teknoloji Mesleki ve Teknik Anadolu Lisesi,9.66,7.74,6.86,4.94 – 7.02,YENİLENEBİLİR ENERJİ TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı,1.04
ÇANKAYA (MERKEZ),Ayhan Sümer Anadolu Lisesi,6.88,6.88,6.88,6.88 – 6.88,ANADOLU LİSESİ,Anadolu Lisesi,0.0
KEÇİÖREN (MERKEZ),Aydınlıkevler Anadolu Lisesi,7.31,7.02,7.04,6.75 – 7.37,ANADOLU LİSESİ,Anadolu Lisesi,0.3100000000000014
